dataset,model,nb_class,thread_time_mean,process_time_mean,raw_time_mean,liczba_regul_mean,srednia_dlugosc_reguly_mean,suma_warunkow_mean,train_acc_mean,test_acc_mean,train_bacc_mean,test_bacc_mean,thread_time_std,process_time_std,raw_time_std,liczba_regul_std,srednia_dlugosc_reguly_std,suma_warunkow_std,train_acc_std,test_acc_std,train_bacc_std,test_bacc_std
fars,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-25perOrgRules,8,1594.277,1594.277,1594.277,1541.9,7.446,11477.6,0.786,0.781,0.507,0.502,371.727,371.727,371.727,161.01,0.148,1188.93,0.001,0.003,0.016,0.033
fars,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-3,8,11.499,11.499,11.499,24.0,8.121,194.9,0.768,0.767,0.407,0.411,1.879,1.879,1.879,0.0,0.25,5.99,0.001,0.001,0.012,0.02
fars,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-5,8,22.574,22.574,22.574,40.0,7.935,317.4,0.777,0.776,0.443,0.438,3.178,3.178,3.178,0.0,0.208,8.303,0.009,0.009,0.021,0.025
fars,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-50perOrgRules,8,2445.106,2445.106,2445.106,2365.1,7.296,17311.4,0.788,0.78,0.52,0.511,619.465,619.465,619.465,236.075,0.315,2381.461,0.005,0.005,0.014,0.032
fars,RuleKit_mincov-10perMinClass_measure-Correlation,8,78.254,78.254,78.254,77.1,8.499,655.4,0.723,0.723,0.515,0.516,18.696,18.696,18.696,5.486,0.189,50.025,0.024,0.023,0.019,0.028
fars,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-10,8,74.515,74.515,74.515,55.5,7.235,401.3,0.736,0.736,0.452,0.456,11.39,11.39,11.39,2.014,0.252,14.33,0.036,0.035,0.027,0.028
fars,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-100,8,136.322,136.322,136.322,199.3,7.426,1479.7,0.711,0.711,0.499,0.501,26.59,26.59,26.59,9.19,0.095,61.511,0.022,0.024,0.01,0.023
fars,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-10perOrgRules,8,88.496,88.496,88.496,49.9,7.162,357.4,0.746,0.745,0.429,0.433,20.247,20.247,20.247,2.601,0.313,24.659,0.025,0.026,0.021,0.024
fars,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-25perOrgRules,8,125.082,125.082,125.082,78.2,7.959,622.4,0.726,0.726,0.496,0.499,23.565,23.565,23.565,3.084,0.223,29.904,0.026,0.027,0.018,0.022
fars,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-3,8,22.196,22.196,22.196,24.0,7.642,183.4,0.768,0.767,0.419,0.424,2.38,2.38,2.38,0.0,0.26,6.24,0.001,0.002,0.001,0.016
fars,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-5,8,48.697,48.697,48.697,37.4,7.092,265.2,0.759,0.758,0.417,0.422,7.881,7.881,7.881,1.265,0.188,10.475,0.013,0.013,0.003,0.016
fars,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-50perOrgRules,8,143.104,143.104,143.104,117.2,7.852,919.8,0.707,0.707,0.491,0.495,30.396,30.396,30.396,6.941,0.255,53.917,0.049,0.048,0.026,0.031
fars,RuleKit_mincov-5_measure-C2,8,1071.352,1071.352,1071.352,1718.9,8.478,14598.1,0.786,0.781,0.513,0.513,279.208,279.208,279.208,205.469,0.167,1963.979,0.007,0.007,0.016,0.025
fars,RuleKit_mincov-5_measure-C2_maxNbRules-10,8,52.032,52.032,52.032,74.1,8.2,607.6,0.78,0.779,0.453,0.452,7.997,7.997,7.997,0.316,0.212,15.586,0.007,0.007,0.023,0.032
fars,RuleKit_mincov-5_measure-C2_maxNbRules-100,8,401.266,401.266,401.266,575.6,7.924,4562.2,0.769,0.766,0.51,0.512,56.022,56.022,56.022,12.267,0.166,170.227,0.02,0.022,0.02,0.036
fars,RuleKit_mincov-5_measure-C2_maxNbRules-10perOrgRules,8,833.772,833.772,833.772,901.7,7.486,6741.0,0.777,0.774,0.493,0.494,233.183,233.183,233.183,83.995,0.171,543.943,0.011,0.013,0.014,0.03
fars,RuleKit_mincov-5_measure-C2_maxNbRules-25perOrgRules,8,1591.757,1591.757,1591.757,1541.9,7.446,11477.6,0.786,0.781,0.507,0.502,389.027,389.027,389.027,161.01,0.148,1188.93,0.001,0.003,0.016,0.033
fars,RuleKit_mincov-5_measure-C2_maxNbRules-3,8,11.077,11.077,11.077,24.0,8.121,194.9,0.768,0.767,0.407,0.411,1.474,1.474,1.474,0.0,0.25,5.99,0.001,0.001,0.012,0.02
fars,RuleKit_mincov-5_measure-C2_maxNbRules-5,8,22.848,22.848,22.848,40.0,7.935,317.4,0.777,0.776,0.443,0.438,3.396,3.396,3.396,0.0,0.208,8.303,0.009,0.009,0.021,0.025
fars,RuleKit_mincov-5_measure-C2_maxNbRules-50perOrgRules,8,2445.35,2445.35,2445.35,2365.1,7.296,17311.4,0.788,0.78,0.52,0.511,683.412,683.412,683.412,236.075,0.315,2381.461,0.005,0.005,0.014,0.032
fars,RuleKit_mincov-5_measure-Correlation,8,78.735,78.735,78.735,77.1,8.499,655.4,0.723,0.723,0.515,0.516,16.741,16.741,16.741,5.486,0.189,50.025,0.024,0.023,0.019,0.028
fars,RuleKit_mincov-5_measure-Correlation_maxNbRules-10,8,74.636,74.636,74.636,55.5,7.235,401.3,0.736,0.736,0.452,0.456,12.272,12.272,12.272,2.014,0.252,14.33,0.036,0.035,0.027,0.028
fars,RuleKit_mincov-5_measure-Correlation_maxNbRules-100,8,139.093,139.093,139.093,199.3,7.426,1479.7,0.711,0.711,0.499,0.501,27.643,27.643,27.643,9.19,0.095,61.511,0.022,0.024,0.01,0.023
fars,RuleKit_mincov-5_measure-Correlation_maxNbRules-10perOrgRules,8,85.773,85.773,85.773,49.9,7.162,357.4,0.746,0.745,0.429,0.433,19.042,19.042,19.042,2.601,0.313,24.659,0.025,0.026,0.021,0.024
fars,RuleKit_mincov-5_measure-Correlation_maxNbRules-25perOrgRules,8,125.886,125.886,125.886,78.2,7.959,622.4,0.726,0.726,0.496,0.499,27.27,27.27,27.27,3.084,0.223,29.904,0.026,0.027,0.018,0.022
fars,RuleKit_mincov-5_measure-Correlation_maxNbRules-3,8,21.654,21.654,21.654,24.0,7.642,183.4,0.768,0.767,0.419,0.424,2.349,2.349,2.349,0.0,0.26,6.24,0.001,0.002,0.001,0.016
fars,RuleKit_mincov-5_measure-Correlation_maxNbRules-5,8,47.96,47.96,47.96,37.4,7.092,265.2,0.759,0.758,0.417,0.422,6.893,6.893,6.893,1.265,0.188,10.475,0.013,0.013,0.003,0.016
fars,RuleKit_mincov-5_measure-Correlation_maxNbRules-50perOrgRules,8,145.746,145.746,145.746,117.2,7.852,919.8,0.707,0.707,0.491,0.495,30.519,30.519,30.519,6.941,0.255,53.917,0.049,0.048,0.026,0.031
nursery,AQ15,5,3.27,3.27,3.27,204.0,5.386,1098.9,1.0,0.998,1.0,0.979,0.078,0.078,0.078,7.102,0.038,42.894,0.0,0.001,0.0,0.063
nursery,CN2_default,5,4.663,4.67,4.664,260.2,2.694,701.4,1.0,0.996,1.0,0.997,0.374,0.373,0.374,20.773,0.058,64.367,0.0,0.003,0.0,0.003
nursery,CN2_v2,5,1.318,1.322,1.318,222.9,2.825,630.3,0.998,0.996,0.795,0.949,0.081,0.081,0.081,11.704,0.07,45.424,0.001,0.001,0.004,0.083
nursery,IDS,5,8.498,8.502,8.499,18.8,1.969,37.0,0.763,0.763,0.467,0.561,0.232,0.232,0.232,2.781,0.027,5.333,0.027,0.029,0.016,0.049
nursery,JRip,5,9.356,71.288,10.439,117.0,4.559,534.7,0.979,0.965,0.866,0.851,3.0,22.61,3.309,13.14,0.117,73.42,0.004,0.007,0.108,0.084
nursery,LORD,5,0.234,0.234,0.234,572.5,5.291,3029.2,,0.985,,,0.226,0.226,0.226,11.128,0.024,59.935,,0.004,,
nursery,MLRules,5,4.278,4.86,4.289,100.0,3.641,364.1,0.978,0.975,0.736,0.871,0.136,1.68,0.165,0.0,0.087,8.711,0.002,0.003,0.008,0.074
nursery,OneR,5,0.008,0.013,0.008,3.0,1.0,3.0,0.71,0.71,0.435,0.522,0.007,0.011,0.007,0.0,0.0,0.0,0.001,0.009,0.001,0.045
nursery,RuleKit_mincov-10perMinClass_measure-C2,5,1.222,1.222,1.222,303.0,4.649,1408.8,0.953,0.945,0.648,0.765,0.171,0.171,0.171,6.018,0.021,29.333,0.005,0.008,0.024,0.075
nursery,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-10,5,0.285,0.285,0.285,32.4,2.906,94.2,0.878,0.876,0.603,0.647,0.081,0.081,0.081,0.699,0.091,4.541,0.009,0.012,0.099,0.055
nursery,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-100,5,1.098,1.098,1.098,252.2,5.078,1280.8,0.946,0.936,0.649,0.717,0.146,0.146,0.146,2.53,0.031,17.19,0.004,0.009,0.072,0.066
nursery,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-10perOrgRules,5,0.568,0.568,0.568,93.3,3.985,371.9,0.913,0.909,0.616,0.72,0.058,0.058,0.058,1.889,0.08,12.775,0.004,0.008,0.036,0.074
nursery,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-25perOrgRules,5,0.948,0.948,0.948,210.3,4.914,1033.6,0.943,0.934,0.609,0.708,0.045,0.045,0.045,4.968,0.037,30.776,0.005,0.005,0.017,0.066
nursery,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-3,5,0.214,0.214,0.214,11.7,2.409,28.3,0.758,0.755,0.687,0.582,0.074,0.074,0.074,0.483,0.264,4.138,0.008,0.014,0.007,0.054
nursery,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-5,5,0.193,0.193,0.193,16.7,2.54,42.5,0.828,0.827,0.734,0.629,0.074,0.074,0.074,0.483,0.188,4.223,0.004,0.011,0.017,0.056
nursery,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-50perOrgRules,5,1.278,1.278,1.278,298.5,5.199,1552.1,0.946,0.94,0.61,0.712,0.136,0.136,0.136,6.276,0.041,41.664,0.006,0.007,0.015,0.073
nursery,RuleKit_mincov-10perMinClass_measure-Correlation,5,0.289,0.289,0.289,21.5,2.161,46.5,0.777,0.776,0.638,0.763,0.064,0.064,0.064,0.972,0.048,3.1,0.009,0.014,0.004,0.067
nursery,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-10,5,0.359,0.359,0.359,21.4,2.158,46.2,0.777,0.776,0.638,0.763,0.143,0.143,0.143,0.699,0.039,2.201,0.009,0.014,0.005,0.067
nursery,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-100,5,0.333,0.333,0.333,21.3,2.163,46.1,0.787,0.785,0.636,0.756,0.089,0.089,0.089,1.16,0.048,3.414,0.025,0.027,0.006,0.062
nursery,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-10perOrgRules,5,0.165,0.165,0.165,8.0,1.888,15.1,0.659,0.659,0.721,0.624,0.046,0.046,0.046,0.0,0.04,0.316,0.001,0.01,0.002,0.055
nursery,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-25perOrgRules,5,0.293,0.293,0.293,17.0,2.032,34.6,0.754,0.753,0.613,0.736,0.078,0.078,0.078,1.633,0.044,4.033,0.011,0.017,0.006,0.067
