dataset,model,nb_class,thread_time_mean,process_time_mean,raw_time_mean,liczba_regul_mean,srednia_dlugosc_reguly_mean,suma_warunkow_mean,train_acc_mean,test_acc_mean,train_bacc_mean,test_bacc_mean,thread_time_std,process_time_std,raw_time_std,liczba_regul_std,srednia_dlugosc_reguly_std,suma_warunkow_std,train_acc_std,test_acc_std,train_bacc_std,test_bacc_std
adult,AQ15,2,1384.845,1384.845,1384.845,2566.4,6.753,17213.5,0.88,0.825,0.763,0.674,867.142,867.142,867.142,1052.383,0.35,6781.589,0.043,0.011,0.076,0.046
adult,BRCG,2,136.487,262.01,136.593,1.2,1.2,1.5,0.784,0.783,0.604,0.603,11.591,24.689,11.576,0.422,0.35,0.85,0.006,0.009,0.029,0.032
adult,CN2_default,2,1121.039,1122.067,1121.123,6176.5,3.493,21574.1,0.982,0.836,0.969,0.761,59.499,59.533,59.498,227.221,0.056,854.927,0.002,0.003,0.003,0.005
adult,CN2_v2,2,23672.785,23693.877,23674.088,4892.8,2.932,14347.2,0.97,0.821,0.958,0.754,1022.733,1023.535,1022.716,84.968,0.029,307.501,0.002,0.007,0.005,0.008
adult,IDS,2,31.493,31.525,31.499,15.3,1.879,28.8,0.761,0.761,0.5,0.5,2.176,2.184,2.176,2.71,0.071,5.432,0.0,0.0,0.0,0.0
adult,JRip,2,10.136,34.982,10.651,16.4,5.044,84.0,0.849,0.846,0.751,0.746,4.075,23.816,4.389,3.836,0.432,25.171,0.003,0.006,0.006,0.011
adult,LORD,2,1.191,1.191,1.191,8225.0,5.031,41375.8,,0.85,,,0.558,0.558,0.558,161.3,0.092,1011.058,,0.004,,
adult,MLRules,2,48.224,49.621,48.254,100.0,7.749,774.9,0.868,0.864,0.787,0.782,1.49,4.794,1.523,0.0,0.108,10.785,0.001,0.004,0.002,0.006
adult,OneR,2,0.111,0.129,0.111,22.6,1.0,22.6,0.811,0.811,0.606,0.606,0.019,0.061,0.019,1.647,0.0,1.647,0.0,0.002,0.001,0.005
adult,RuleKit_mincov-10perMinClass_measure-C2,2,13.343,13.343,13.343,23.8,5.863,139.5,0.842,0.841,0.759,0.757,1.154,1.154,1.154,0.422,0.297,6.587,0.003,0.006,0.007,0.007
adult,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-10,2,9.938,9.938,9.938,20.0,5.855,117.1,0.836,0.835,0.788,0.785,1.403,1.403,1.403,0.0,0.213,4.254,0.002,0.005,0.007,0.007
adult,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-100,2,159.877,159.877,159.877,200.0,6.872,1374.4,0.848,0.846,0.789,0.786,6.282,6.282,6.282,0.0,0.119,23.834,0.001,0.003,0.003,0.006
adult,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-10perOrgRules,2,0.724,0.724,0.724,4.0,3.675,14.7,0.816,0.816,0.711,0.71,0.135,0.135,0.135,0.0,0.206,0.823,0.001,0.004,0.0,0.007
adult,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-25perOrgRules,2,4.465,4.465,4.465,12.0,5.567,66.8,0.829,0.828,0.774,0.773,0.282,0.282,0.282,0.0,0.277,3.327,0.007,0.01,0.004,0.01
adult,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-3,2,1.763,1.763,1.763,6.0,4.817,28.9,0.799,0.799,0.745,0.745,0.218,0.218,0.218,0.0,0.266,1.595,0.016,0.018,0.009,0.008
adult,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-5,2,4.161,4.161,4.161,10.0,5.31,53.1,0.83,0.829,0.76,0.759,0.419,0.419,0.419,0.0,0.256,2.558,0.001,0.003,0.003,0.005
adult,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-50perOrgRules,2,10.834,10.834,10.834,24.0,5.942,142.6,0.833,0.831,0.792,0.79,1.063,1.063,1.063,0.0,0.101,2.413,0.003,0.004,0.004,0.004
adult,RuleKit_mincov-10perMinClass_measure-Correlation,2,58.843,58.843,58.843,8.3,5.433,45.0,0.789,0.789,0.807,0.806,6.015,6.015,6.015,0.483,0.288,1.633,0.005,0.011,0.005,0.009
adult,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-10,2,164.968,164.968,164.968,20.0,4.665,93.3,0.839,0.839,0.776,0.775,10.867,10.867,10.867,0.0,0.142,2.83,0.003,0.006,0.004,0.009
adult,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-100,2,1635.342,1635.342,1635.342,103.3,5.184,537.1,0.764,0.764,0.807,0.806,251.832,251.832,251.832,13.191,0.241,86.091,0.013,0.019,0.003,0.01
adult,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-10perOrgRules,2,53.147,53.147,53.147,8.3,5.433,45.0,0.789,0.789,0.807,0.806,5.595,5.595,5.595,0.483,0.288,1.633,0.005,0.011,0.005,0.009
adult,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-25perOrgRules,2,3.702,3.702,3.702,4.0,3.725,14.9,0.817,0.817,0.722,0.721,0.262,0.262,0.262,0.0,0.142,0.568,0.001,0.004,0.001,0.007
adult,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-3,2,29.092,29.092,29.092,6.0,4.15,24.9,0.788,0.788,0.782,0.781,1.617,1.617,1.617,0.0,0.166,0.994,0.001,0.007,0.001,0.008
adult,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-5,2,75.962,75.962,75.962,10.0,4.63,46.3,0.826,0.824,0.775,0.774,11.72,11.72,11.72,0.0,0.157,1.567,0.019,0.022,0.013,0.014
adult,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-50perOrgRules,2,53.52,53.52,53.52,8.6,4.535,39.0,0.806,0.805,0.78,0.779,14.078,14.078,14.078,0.966,0.176,4.595,0.019,0.023,0.007,0.009
adult,RuleKit_mincov-5_measure-C2,2,1702.95,1702.95,1702.95,1579.0,7.136,11269.6,0.852,0.848,0.776,0.772,116.516,116.516,116.516,75.487,0.104,595.756,0.002,0.004,0.008,0.01
adult,RuleKit_mincov-5_measure-C2_maxNbRules-10,2,9.952,9.952,9.952,20.0,5.855,117.1,0.836,0.835,0.788,0.785,1.422,1.422,1.422,0.0,0.213,4.254,0.002,0.005,0.007,0.007
adult,RuleKit_mincov-5_measure-C2_maxNbRules-100,2,160.128,160.128,160.128,200.0,6.872,1374.4,0.848,0.846,0.789,0.786,6.844,6.844,6.844,0.0,0.119,23.834,0.001,0.003,0.003,0.006
adult,RuleKit_mincov-5_measure-C2_maxNbRules-10perOrgRules,2,294.671,294.671,294.671,316.0,7.046,2227.4,0.85,0.848,0.787,0.785,29.452,29.452,29.452,15.406,0.105,128.809,0.001,0.004,0.002,0.005
adult,RuleKit_mincov-5_measure-C2_maxNbRules-25perOrgRules,2,1069.34,1069.34,1069.34,789.6,7.252,5727.4,0.851,0.849,0.782,0.778,91.828,91.828,91.828,37.698,0.084,303.197,0.001,0.004,0.004,0.006
adult,RuleKit_mincov-5_measure-C2_maxNbRules-3,2,1.766,1.766,1.766,6.0,4.817,28.9,0.799,0.799,0.745,0.745,0.219,0.219,0.219,0.0,0.266,1.595,0.016,0.018,0.009,0.008
adult,RuleKit_mincov-5_measure-C2_maxNbRules-5,2,4.222,4.222,4.222,10.0,5.31,53.1,0.83,0.829,0.76,0.759,0.456,0.456,0.456,0.0,0.256,2.558,0.001,0.003,0.003,0.005
adult,RuleKit_mincov-5_measure-C2_maxNbRules-50perOrgRules,2,2102.908,2102.908,2102.908,1570.4,7.129,11192.7,0.852,0.849,0.779,0.774,159.784,159.784,159.784,70.061,0.119,483.535,0.002,0.003,0.005,0.009
adult,RuleKit_mincov-5_measure-Correlation,2,1336.642,1336.642,1336.642,95.3,5.54,527.1,0.762,0.759,0.806,0.803,175.717,175.717,175.717,8.097,0.148,34.642,0.013,0.019,0.004,0.009
adult,RuleKit_mincov-5_measure-Correlation_maxNbRules-10,2,165.541,165.541,165.541,20.0,4.665,93.3,0.839,0.839,0.776,0.775,10.123,10.123,10.123,0.0,0.142,2.83,0.003,0.006,0.004,0.009
adult,RuleKit_mincov-5_measure-Correlation_maxNbRules-100,2,1629.476,1629.476,1629.476,103.3,5.184,537.1,0.764,0.764,0.807,0.806,246.136,246.136,246.136,13.191,0.241,86.091,0.013,0.019,0.003,0.01
adult,RuleKit_mincov-5_measure-Correlation_maxNbRules-10perOrgRules,2,140.751,140.751,140.751,19.2,4.611,88.5,0.839,0.839,0.775,0.775,17.543,17.543,17.543,1.687,0.079,7.517,0.002,0.006,0.004,0.007
adult,RuleKit_mincov-5_measure-Correlation_maxNbRules-25perOrgRules,2,437.175,437.175,437.175,44.7,5.286,236.2,0.818,0.818,0.798,0.797,72.4,72.4,72.4,3.302,0.093,16.301,0.019,0.019,0.012,0.015
adult,RuleKit_mincov-5_measure-Correlation_maxNbRules-3,2,29.229,29.229,29.229,6.0,4.15,24.9,0.788,0.788,0.782,0.781,2.028,2.028,2.028,0.0,0.166,0.994,0.001,0.007,0.001,0.008
adult,RuleKit_mincov-5_measure-Correlation_maxNbRules-5,2,75.596,75.596,75.596,10.0,4.63,46.3,0.826,0.824,0.775,0.774,11.513,11.513,11.513,0.0,0.157,1.567,0.019,0.022,0.013,0.014
adult,RuleKit_mincov-5_measure-Correlation_maxNbRules-50perOrgRules,2,758.946,758.946,758.946,70.0,5.597,391.4,0.787,0.787,0.809,0.808,130.382,130.382,130.382,5.497,0.161,27.533,0.008,0.008,0.004,0.007
adult,rulefit,2,47.146,871.862,47.18,23.7,2.772,65.6,0.844,0.843,0.791,0.792,11.494,66.13,11.538,1.059,0.23,5.06,0.002,0.003,0.006,0.006
airlines_100k,AQ15,2,,,,,,,,,,,,,,,,,,,,
airlines_100k,BRCG,2,77.888,4016.745,77.953,0.0,,0.0,0.808,0.808,0.5,0.5,9.542,499.307,9.578,0.0,,0.0,0.0,0.0,0.0,0.0
airlines_100k,CN2_default,2,34218.217,34248.424,34220.859,37677.1,2.578,97137.5,1.0,0.688,1.0,0.499,567.148,567.619,567.168,206.486,0.003,593.425,0.0,0.003,0.0,0.003
airlines_100k,CN2_v2,2,25597.048,25619.593,25599.509,13194.9,2.803,36984.4,0.975,0.694,0.959,0.501,96.276,96.18,96.365,27.779,0.008,112.706,0.001,0.005,0.001,0.006
airlines_100k,IDS,2,63.189,63.27,63.199,15.9,1.568,25.2,0.808,0.808,0.5,0.5,5.727,5.748,5.726,3.985,0.13,7.036,0.0,0.0,0.0,0.0
airlines_100k,JRip,2,14.002,173.983,15.092,10.2,3.539,36.6,0.813,0.812,0.531,0.528,5.049,101.592,5.537,2.86,0.235,11.721,0.001,0.001,0.004,0.003
airlines_100k,LORD,2,1.334,1.334,1.334,33030.2,3.385,111797.1,,0.805,,,0.545,0.545,0.545,124.167,0.031,1155.004,,0.002,,
airlines_100k,MLRules,2,,,,100.0,176.977,17697.7,0.827,0.815,0.572,0.55,,,,0.0,1.131,113.137,0.001,0.001,0.001,0.003
airlines_100k,OneR,2,0.078,0.088,0.078,68.0,1.0,68.0,0.81,0.808,0.516,0.513,0.014,0.033,0.014,3.399,0.0,3.399,0.001,0.001,0.001,0.001
airlines_100k,RuleKit_mincov-10perMinClass_measure-C2,2,182.391,182.391,182.391,44.0,1.815,79.9,0.756,0.756,0.584,0.584,16.957,16.957,16.957,1.414,0.047,4.067,0.002,0.003,0.001,0.005
airlines_100k,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-10,2,64.439,64.439,64.439,20.0,1.8,36.0,0.687,0.687,0.619,0.618,5.34,5.34,5.34,0.0,0.041,0.816,0.003,0.006,0.001,0.007
airlines_100k,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-100,2,966.275,966.275,966.275,200.0,1.862,372.4,0.706,0.706,0.614,0.614,86.553,86.553,86.553,0.0,0.029,5.719,0.002,0.006,0.001,0.006
airlines_100k,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-10perOrgRules,2,10.054,10.054,10.054,8.6,1.699,14.6,0.712,0.712,0.609,0.609,5.745,5.745,5.745,1.35,0.092,2.366,0.013,0.013,0.005,0.006
airlines_100k,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-25perOrgRules,2,75.501,75.501,75.501,21.8,1.807,39.4,0.693,0.693,0.615,0.615,8.58,8.58,8.58,0.632,0.042,1.506,0.006,0.006,0.001,0.007
airlines_100k,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-3,2,5.033,5.033,5.033,5.1,1.553,7.9,0.652,0.652,0.626,0.626,4.697,4.697,4.697,0.316,0.1,0.316,0.001,0.005,0.001,0.005
airlines_100k,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-5,2,10.726,10.726,10.726,9.6,1.72,16.5,0.724,0.723,0.605,0.604,6.226,6.226,6.226,0.516,0.041,0.707,0.001,0.005,0.001,0.007
airlines_100k,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-50perOrgRules,2,178.829,178.829,178.829,44.6,1.838,82.0,0.699,0.698,0.614,0.614,7.437,7.437,7.437,1.647,0.05,4.11,0.006,0.008,0.001,0.007
airlines_100k,RuleKit_mincov-10perMinClass_measure-Correlation,2,169.164,169.164,169.164,25.7,1.596,41.0,0.744,0.743,0.592,0.591,26.959,26.959,26.959,1.703,0.144,4.546,0.007,0.006,0.004,0.007
airlines_100k,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-10,2,123.943,123.943,123.943,20.0,1.66,33.2,0.628,0.628,0.631,0.631,10.251,10.251,10.251,0.0,0.097,1.932,0.015,0.016,0.001,0.007
airlines_100k,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-100,2,1828.413,1828.413,1828.413,199.3,1.644,327.7,0.609,0.607,0.633,0.631,52.242,52.242,52.242,0.675,0.128,25.281,0.012,0.014,0.001,0.007
airlines_100k,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-10perOrgRules,2,13.235,13.235,13.235,4.8,1.443,6.9,0.678,0.679,0.621,0.621,7.367,7.367,7.367,1.033,0.111,1.449,0.016,0.02,0.006,0.004
airlines_100k,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-25perOrgRules,2,67.076,67.076,67.076,13.1,1.569,20.6,0.625,0.625,0.631,0.63,6.925,6.925,6.925,1.101,0.086,2.459,0.021,0.023,0.002,0.005
airlines_100k,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-3,2,15.667,15.667,15.667,5.3,1.417,7.5,0.685,0.685,0.618,0.618,5.087,5.087,5.087,0.483,0.079,0.707,0.014,0.016,0.004,0.007
airlines_100k,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-5,2,44.803,44.803,44.803,9.8,1.489,14.6,0.642,0.642,0.63,0.63,4.351,4.351,4.351,0.422,0.071,1.075,0.006,0.006,0.001,0.006
airlines_100k,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-50perOrgRules,2,165.31,165.31,165.31,26.0,1.668,43.4,0.635,0.635,0.631,0.631,18.198,18.198,18.198,1.886,0.084,4.033,0.011,0.014,0.001,0.007
airlines_100k,RuleKit_mincov-5_measure-C2,2,14153.285,14153.285,14153.285,6278.6,2.328,14619.8,0.71,0.709,0.614,0.613,1492.487,1492.487,1492.487,340.81,0.018,853.425,0.013,0.016,0.005,0.007
airlines_100k,RuleKit_mincov-5_measure-C2_maxNbRules-10,2,64.669,64.669,64.669,20.0,1.8,36.0,0.687,0.687,0.619,0.618,5.981,5.981,5.981,0.0,0.041,0.816,0.003,0.006,0.001,0.007
airlines_100k,RuleKit_mincov-5_measure-C2_maxNbRules-100,2,966.2,966.2,966.2,200.0,1.862,372.4,0.706,0.706,0.614,0.614,86.653,86.653,86.653,0.0,0.029,5.719,0.002,0.006,0.001,0.006
airlines_100k,RuleKit_mincov-5_measure-C2_maxNbRules-10perOrgRules,2,5688.457,5688.457,5688.457,1255.8,1.929,2423.3,0.721,0.72,0.609,0.608,218.395,218.395,218.395,68.186,0.026,157.087,0.001,0.006,0.001,0.008
airlines_100k,RuleKit_mincov-5_measure-C2_maxNbRules-25perOrgRules,2,9201.277,9201.277,9201.277,3129.5,2.185,6841.2,0.717,0.716,0.611,0.61,326.178,326.178,326.178,169.711,0.036,460.403,0.002,0.006,0.001,0.007
airlines_100k,RuleKit_mincov-5_measure-C2_maxNbRules-3,2,5.057,5.057,5.057,5.1,1.553,7.9,0.652,0.652,0.626,0.626,4.702,4.702,4.702,0.316,0.1,0.316,0.001,0.005,0.001,0.005
airlines_100k,RuleKit_mincov-5_measure-C2_maxNbRules-5,2,10.9,10.9,10.9,9.6,1.72,16.5,0.724,0.723,0.605,0.604,6.443,6.443,6.443,0.516,0.041,0.707,0.001,0.005,0.001,0.007
airlines_100k,RuleKit_mincov-5_measure-C2_maxNbRules-50perOrgRules,2,11003.128,11003.128,11003.128,6169.7,2.477,15292.6,0.72,0.719,0.611,0.61,579.655,579.655,579.655,354.08,0.038,1069.246,0.01,0.013,0.004,0.008
airlines_100k,RuleKit_mincov-5_measure-Correlation,2,8533.411,8533.411,8533.411,690.9,1.134,783.8,0.551,0.551,0.613,0.613,2301.236,2301.236,2301.236,168.329,0.046,195.186,0.146,0.147,0.036,0.038
airlines_100k,RuleKit_mincov-5_measure-Correlation_maxNbRules-10,2,124.174,124.174,124.174,20.0,1.66,33.2,0.628,0.628,0.631,0.631,11.19,11.19,11.19,0.0,0.097,1.932,0.015,0.016,0.001,0.007
airlines_100k,RuleKit_mincov-5_measure-Correlation_maxNbRules-100,2,1832.355,1832.355,1832.355,199.3,1.644,327.7,0.609,0.607,0.633,0.631,54.115,54.115,54.115,0.675,0.128,25.281,0.012,0.014,0.001,0.007
airlines_100k,RuleKit_mincov-5_measure-Correlation_maxNbRules-10perOrgRules,2,1157.228,1157.228,1157.228,138.0,1.688,231.8,0.61,0.61,0.633,0.632,318.335,318.335,318.335,33.506,0.119,55.966,0.012,0.014,0.001,0.007
airlines_100k,RuleKit_mincov-5_measure-Correlation_maxNbRules-25perOrgRules,2,3349.793,3349.793,3349.793,335.8,1.569,521.7,0.621,0.62,0.632,0.631,881.459,881.459,881.459,78.494,0.141,116.705,0.02,0.019,0.002,0.007
airlines_100k,RuleKit_mincov-5_measure-Correlation_maxNbRules-3,2,15.499,15.499,15.499,5.3,1.417,7.5,0.685,0.685,0.618,0.618,4.99,4.99,4.99,0.483,0.079,0.707,0.014,0.016,0.004,0.007
airlines_100k,RuleKit_mincov-5_measure-Correlation_maxNbRules-5,2,44.943,44.943,44.943,9.8,1.489,14.6,0.642,0.642,0.63,0.63,4.44,4.44,4.44,0.422,0.071,1.075,0.006,0.006,0.001,0.006
airlines_100k,RuleKit_mincov-5_measure-Correlation_maxNbRules-50perOrgRules,2,6332.436,6332.436,6332.436,578.8,1.481,848.3,0.608,0.608,0.632,0.632,1472.397,1472.397,1472.397,117.239,0.125,151.478,0.023,0.021,0.001,0.008
airlines_100k,rulefit,2,160.469,827.099,160.499,23.5,2.157,50.7,0.808,0.808,0.5,0.5,6.927,20.356,6.93,2.415,0.185,6.913,0.0,0.0,0.0,0.0
airlines_10k,AQ15,2,2120.654,2120.654,2120.654,2105.0,4.108,8648.7,1.0,0.787,1.0,0.51,89.982,89.982,89.982,36.35,0.124,341.172,0.0,0.005,0.0,0.008
airlines_10k,BRCG,2,10.867,683.954,10.87,0.0,,0.0,0.806,0.806,0.5,0.5,1.374,87.776,1.374,0.0,,0.0,0.0,0.0,0.0,0.0
airlines_10k,CN2_default,2,362.444,362.788,362.475,4070.5,1.863,7583.1,1.0,0.709,1.0,0.538,6.225,6.223,6.229,49.235,0.001,94.279,0.0,0.016,0.0,0.014
airlines_10k,CN2_v2,2,382.308,382.673,382.334,1365.2,2.231,3045.4,0.97,0.713,0.952,0.54,6.372,6.389,6.37,16.267,0.016,37.76,0.003,0.013,0.004,0.017
airlines_10k,IDS,2,8.286,8.291,8.286,14.8,1.644,24.3,0.806,0.806,0.5,0.5,0.311,0.311,0.311,2.7,0.132,4.498,0.0,0.0,0.0,0.0
airlines_10k,JRip,2,0.221,2.291,0.262,2.3,2.867,6.6,0.81,0.807,0.527,0.524,0.097,2.474,0.119,1.418,0.218,4.115,0.002,0.002,0.011,0.009
airlines_10k,LORD,2,0.234,0.234,0.234,3587.3,2.692,9658.0,,0.785,,,0.16,0.16,0.16,36.414,0.01,108.377,,0.009,,
airlines_10k,MLRules,2,3708.668,3714.957,3709.23,100.0,157.108,15710.8,0.928,0.786,0.825,0.549,133.758,134.518,133.818,0.0,2.094,209.393,0.002,0.007,0.006,0.008
airlines_10k,OneR,2,0.012,0.025,0.012,33.6,1.0,33.6,0.813,0.798,0.539,0.517,0.01,0.021,0.01,5.168,0.0,5.168,0.001,0.005,0.005,0.006
airlines_10k,RuleKit_mincov-10perMinClass_measure-C2,2,10.124,10.124,10.124,42.9,1.71,73.4,0.748,0.747,0.589,0.588,0.724,0.724,0.724,1.101,0.104,5.621,0.003,0.009,0.004,0.025
airlines_10k,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-10,2,4.615,4.615,4.615,20.0,1.85,37.0,0.697,0.695,0.619,0.616,0.625,0.625,0.625,0.0,0.1,2.0,0.006,0.013,0.003,0.026
airlines_10k,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-100,2,45.272,45.272,45.272,200.0,1.814,362.9,0.72,0.717,0.614,0.609,2.127,2.127,2.127,0.0,0.049,9.735,0.002,0.007,0.002,0.021
airlines_10k,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-10perOrgRules,2,1.035,1.035,1.035,8.0,1.662,13.3,0.704,0.702,0.617,0.615,0.437,0.437,0.437,0.0,0.119,0.949,0.001,0.011,0.003,0.023
airlines_10k,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-25perOrgRules,2,5.342,5.342,5.342,21.8,1.831,39.9,0.705,0.703,0.616,0.613,0.594,0.594,0.594,0.632,0.1,2.025,0.005,0.011,0.003,0.022
airlines_10k,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-3,2,0.153,0.153,0.153,6.0,1.633,9.8,0.66,0.657,0.627,0.623,0.05,0.05,0.05,0.0,0.131,0.789,0.007,0.014,0.004,0.018
airlines_10k,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-5,2,1.447,1.447,1.447,10.0,1.73,17.3,0.727,0.726,0.607,0.605,0.438,0.438,0.438,0.0,0.125,1.252,0.002,0.01,0.003,0.021
airlines_10k,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-50perOrgRules,2,11.124,11.124,11.124,43.2,1.809,78.2,0.707,0.707,0.617,0.616,0.697,0.697,0.697,1.033,0.07,4.442,0.007,0.009,0.003,0.022
airlines_10k,RuleKit_mincov-10perMinClass_measure-Correlation,2,9.261,9.261,9.261,22.6,1.6,36.0,0.747,0.746,0.591,0.588,1.069,1.069,1.069,1.647,0.191,3.83,0.008,0.014,0.008,0.018
airlines_10k,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-10,2,9.215,9.215,9.215,20.0,1.635,32.7,0.648,0.647,0.628,0.625,0.674,0.674,0.674,0.0,0.094,1.889,0.026,0.022,0.005,0.018
airlines_10k,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-100,2,95.809,95.809,95.809,183.4,1.442,264.3,0.618,0.618,0.629,0.623,4.532,4.532,4.532,7.152,0.095,17.056,0.031,0.028,0.002,0.012
airlines_10k,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-10perOrgRules,2,0.339,0.339,0.339,4.2,1.525,6.4,0.673,0.668,0.628,0.621,0.389,0.389,0.389,0.632,0.142,1.075,0.012,0.014,0.003,0.019
airlines_10k,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-25perOrgRules,2,3.796,3.796,3.796,11.4,1.602,18.2,0.654,0.649,0.63,0.622,0.728,0.728,0.728,0.966,0.128,1.549,0.018,0.021,0.003,0.021
airlines_10k,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-3,2,1.02,1.02,1.02,6.0,1.45,8.7,0.676,0.672,0.624,0.62,0.417,0.417,0.417,0.0,0.137,0.823,0.017,0.018,0.006,0.024
airlines_10k,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-5,2,2.966,2.966,2.966,10.0,1.58,15.8,0.648,0.643,0.63,0.623,0.608,0.608,0.608,0.0,0.155,1.549,0.024,0.024,0.002,0.017
airlines_10k,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-50perOrgRules,2,10.562,10.562,10.562,23.0,1.58,36.3,0.638,0.635,0.629,0.625,1.317,1.317,1.317,1.7,0.114,3.268,0.022,0.019,0.002,0.016
airlines_10k,RuleKit_mincov-5_measure-C2,2,103.543,103.543,103.543,1145.7,1.936,2218.0,0.743,0.738,0.603,0.595,5.111,5.111,5.111,22.721,0.019,42.596,0.004,0.012,0.004,0.02
airlines_10k,RuleKit_mincov-5_measure-C2_maxNbRules-10,2,4.616,4.616,4.616,20.0,1.85,37.0,0.697,0.695,0.619,0.616,0.435,0.435,0.435,0.0,0.1,2.0,0.006,0.013,0.003,0.026
airlines_10k,RuleKit_mincov-5_measure-C2_maxNbRules-100,2,45.446,45.446,45.446,200.0,1.814,362.9,0.72,0.717,0.614,0.609,2.249,2.249,2.249,0.0,0.049,9.735,0.002,0.007,0.002,0.021
airlines_10k,RuleKit_mincov-5_measure-C2_maxNbRules-10perOrgRules,2,48.992,48.992,48.992,229.6,1.833,420.8,0.72,0.718,0.614,0.61,2.466,2.466,2.466,4.6,0.041,11.564,0.003,0.007,0.002,0.019
airlines_10k,RuleKit_mincov-5_measure-C2_maxNbRules-25perOrgRules,2,76.682,76.682,76.682,573.2,1.946,1115.2,0.73,0.728,0.608,0.603,5.799,5.799,5.799,11.322,0.022,16.356,0.002,0.009,0.003,0.018
airlines_10k,RuleKit_mincov-5_measure-C2_maxNbRules-3,2,0.143,0.143,0.143,6.0,1.633,9.8,0.66,0.657,0.627,0.623,0.048,0.048,0.048,0.0,0.131,0.789,0.007,0.014,0.004,0.018
airlines_10k,RuleKit_mincov-5_measure-C2_maxNbRules-5,2,1.437,1.437,1.437,10.0,1.73,17.3,0.727,0.726,0.607,0.605,0.386,0.386,0.386,0.0,0.125,1.252,0.002,0.01,0.003,0.021
airlines_10k,RuleKit_mincov-5_measure-C2_maxNbRules-50perOrgRules,2,87.546,87.546,87.546,1146.0,2.101,2407.6,0.754,0.747,0.6,0.589,5.827,5.827,5.827,22.823,0.02,45.029,0.005,0.012,0.002,0.023
airlines_10k,RuleKit_mincov-5_measure-Correlation,2,130.174,130.174,130.174,236.4,1.279,300.8,0.728,0.728,0.604,0.605,11.292,11.292,11.292,25.89,0.106,24.041,0.009,0.012,0.005,0.022
